;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
179;L8TX_201001_01_H08;463229;aged;M;RFP-positive, DAPI-negative;HIP - CA;548;2854;7032.917309;44441.53644;110603.4096;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
180;L8TX_201002_01_D09;464759;aged;F;RFP-positive, Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;541;3630;6348.535813;26670.51736;86118.60083;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
181;L8TX_201002_01_E09;464751;aged;M;RFP-positive, DAPI-negative;HY -  MEZ-PVZ-PVR;542;4117;7085.155696;33371.74617;134141.2669;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
182;L8TX_201002_01_F09;464751;aged;M;RFP-positive, DAPI-negative;HY -  MEZ-PVZ-PVR;542;4791;7050.088499;32454.85869;116738.5629;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
183;L8TX_201002_01_G09;463230;aged;M;Calcein-positive, Hoechst-positive;HIP - CA;549;4315;5406.38934;27318.71472;136198.9393;Ai14(RCL-tdT)/wt
184;L8TX_201002_01_H09;464758;aged;F;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat post;542;7078;3430.958604;9867.897005;88491.39814;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
185;L8TX_201008_01_A11;464755;aged;M;No FACS;MB - PAG-RAmb;549;6177;4117.782742;15159.0892;57872.21402;Ai14(RCL-tdT)/wt
186;L8TX_201008_01_A12;464325;aged;M;No FACS;HY -  MEZ-PVZ-PVR;551;9050;4605.334144;17548.22818;49403.93006;Ai14(RCL-tdT)/wt
187;L8TX_201008_01_B12;464753;aged;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;548;4441;5896.2907;23674.43504;69325.47895;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
188;L8TX_201008_01_D10;464753;aged;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;548;5955;6153.904114;24785.20924;60194.84803;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
189;L8TX_201008_01_E10;464753;aged;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;548;6376;6179.101945;24801.18523;55947.21393;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
190;L8TX_201008_01_F10;546762;adult;F;Calcein-positive, Hoechst-positive;AI-CLA;55;4612;5546.114918;27726.78448;69668.17129;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
191;L8TX_201008_01_F11;464755;aged;M;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat post;549;5765;4361.318474;16121.47493;90841.22533;Ai14(RCL-tdT)/wt
192;L8TX_201008_01_G11;464325;aged;M;No FACS;STR - sAMY;551;3201;3724.894408;11476.93408;49478.26585;Ai14(RCL-tdT)/wt
193;L8TX_201008_01_H11;464325;aged;M;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;551;4750;4874.976;19126.47642;59667.46295;Ai14(RCL-tdT)/wt
194;L8TX_201009_01_A01;464755;aged;M;No FACS;PONS - Pmot-Psat post;549;3219;4132.080149;15353.73377;113141.8409;Ai14(RCL-tdT)/wt
195;L8TX_201009_01_B01;464755;aged;M;Calcein-positive, Hoechst-positive;MB - PAG-RAmb;549;7298;4385.728556;16406.11853;53523.36887;Ai14(RCL-tdT)/wt
196;L8TX_201009_01_C01;464325;aged;M;Calcein-positive, Hoechst-positive;STR - sAMY;551;3942;3134.814307;7840.459665;19767.45586;Ai14(RCL-tdT)/wt
197;L8TX_201015_01_A03;546799;adult;M;No FACS;AI-CLA;62;9767;4748.687622;20427.5322;59257.61483;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
198;L8TX_201015_01_E03;546799;adult;M;Hoechst-positive;PL-ILA-ORB;62;4580;5482.94607;28248.22227;104294.4507;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
199;L8TX_201015_01_F02;546799;adult;M;Hoechst-positive;AI-CLA;62;4477;5134.986822;25512.06143;76744.62989;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
200;L8TX_201015_01_H02;546799;adult;M;No FACS;PL-ILA-ORB;62;8385;5266.779368;25321.52749;78364.82528;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
201;L8TX_201016_01_B04;546892;adult;M;RFP-positive;HY - HYmm;61;20;3762.15;9036.45;32761.75;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
202;L8TX_201016_01_C04;546812;adult;M;No FACS;ACA;63;5153;5159.222007;25323.38871;119482.1516;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
203;L8TX_201016_01_E04;546895;adult;M;RFP-positive;HY - HYa2;62;1;5204;14821;51642;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
204;L8TX_201016_01_F04;546812;adult;M;Hoechst-positive;STR - STRv;63;3131;5164.683807;22684.52316;142003.5152;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
205;L8TX_201016_01_G04;546812;adult;M;Hoechst-positive;ACA;63;6210;5591.538164;29712.11353;96235.20386;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
206;L8TX_201022_01_A07;468792;aged;M;Calcein-positive, Hoechst-positive;ENT;545;7499;5022.764902;23758.03027;51226.68996;Ai14(RCL-tdT)/wt
207;L8TX_201022_01_C06;546813;adult;M;No FACS;ENT;69;10240;4937.00918;22271.44824;46957.35332;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
208;L8TX_201022_01_D06;547122;adult;M;RFP-positive;HY - HYpm;67;4;4111.75;10047.75;27727;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
